id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_givenColor,C1_name
5711231e370f2,objTwoColors,#0080FF,0,194,88,4,0.07,Sky-Blue 
5713a02a13044,objTwoColors,#0080FF,228,0,83,3,0.11,Blue     
573a0b8280839,objTwoColors,#0080FF,0,267,253,3,0.1,Blue     
573e4022949b1,objTwoColors,#0080FF,235,0,80,5,0.12,Blue     
573e4d0eb795b,objTwoColors,#0080FF,223,0,52,4,0.09,Blue     
573edae85268b,objTwoColors,#0080FF,237,0,2622,2,0.13,Blue     
5740a8b59d448,objTwoColors,#0080FF,249,0,209,3,0.12,Blue     
5740b0f8e9734,objTwoColors,#0080FF,228,0,52,5,0.11,Blue     
5740e3f36a945,objTwoColors,#0080FF,217,0,79,2,0.07,Blue     
574859b8f3379,objTwoColors,#0080FF,230,0,60,1,0.12,Blue     
5756b2d9bd658,objTwoColors,#0080FF,239,0,126,3,0.13,Blue     
5757fd2703090,objTwoColors,#0080FF,212,0,134,5,0.04,Blue     
5757ffca0b4b1,objTwoColors,#0080FF,206,0,55,5,0.01,Navy-Blue
57581518c2c07,objTwoColors,#0080FF,229,0,79,5,0.11,Blue     
57582b17cd76a,objTwoColors,#0080FF,227,0,72,4,0.11,Blue     
5710cc5a7829c,objTwoColors,#0080FF,209,0,85,4,0.03,NA       
5710ce6c1308c,objTwoColors,#0080FF,232,0,106,4,0.12,Blue     
5710cf445718e,objTwoColors,#0080FF,0,235,41,5,0.12,Blue     
5710d140b7c5a,objTwoColors,#0080FF,228,0,54,3,0.11,Blue     
5710d28fec2d1,objTwoColors,#0080FF,0,200,328,1,0.03,Navy-Blue
5710dc97aac05,objTwoColors,#0080FF,0,173,152,3,0.19,Green    
5710e540a9514,objTwoColors,#0080FF,218,0,81,4,0.07,Blue     
5710ea84d4c6f,objTwoColors,#0080FF,226,0,87,5,0.11,Blue     
57110028bc74b,objTwoColors,#0080FF,0,182,164,5,0.14,Blue     
5711106ab212a,objTwoColors,#0080FF,234,0,174,5,0.12,Blue     
57111f6c42412,objTwoColors,#0080FF,203,0,90,5,0.01,Navy-Blue
57112b9e10661,objTwoColors,#0080FF,52,0,233,2,0.39,Green    
57112da850667,objTwoColors,#0080FF,0,173,47,4,0.19,Green    
57112edad4a17,objTwoColors,#0080FF,204,0,67,4,0.01,Navy-Blue
57112f57403ee,objTwoColors,#0080FF,224,0,178,2,0.1,Blue     
571130d934bda,objTwoColors,#0080FF,227,0,31,5,0.11,Blue     
5711348e42f02,objTwoColors,#0080FF,238,0,59,4,0.13,Blue     
571137a34931a,objTwoColors,#0080FF,233,0,136,2,0.12,Blue     
57113b9642c48,objTwoColors,#0080FF,245,0,149,5,0.13,Blue     
57113d4d93c81,objTwoColors,#0080FF,234,0,67,5,0.12,Blue     
571154184c9bd,objTwoColors,#0080FF,232,0,8,5,0.12,Blue     
57117fe7495aa,objTwoColors,#0080FF,0,178,386,5,0.16,Blue     
5711ace2ee7ed,objTwoColors,#0080FF,0,188,36,5,0.11,Cyan     
5711cbde51bb0,objTwoColors,#0080FF,0,233,63,4,0.12,Blue     
571214121717c,objTwoColors,#0080FF,228,0,159,5,0.11,Blue     
5712197fbccd5,objTwoColors,#0080FF,0,167,34,4,0.23,Green    
571245dfd5f63,objTwoColors,#0080FF,247,0,279,4,0.13,Blue     
571252e6d2e70,objTwoColors,#0080FF,232,0,64,5,0.12,Blue     
571260c120253,objTwoColors,#0080FF,236,0,468,4,0.13,Blue     
5712649f2fada,objTwoColors,#0080FF,232,0,92,5,0.12,Blue     
5712a47f6f8a6,objTwoColors,#0080FF,0,182,192,3,0.14,Blue     
5712bd55a8a13,objTwoColors,#0080FF,211,0,109,3,0.04,Blue     
5712c57f97f25,objTwoColors,#0080FF,230,0,66,4,0.12,Blue     
5713b961c216a,objTwoColors,#0080FF,0,0,0,5,0.47,Red      
5713dd915ca28,objTwoColors,#0080FF,0,207,67,2,0.01,Navy-Blue
571410751e7b0,objTwoColors,#0080FF,213,0,51,2,0.05,Blue     
5714c6c26c2f6,objTwoColors,#0080FF,229,0,153,5,0.11,Blue     
57153eb9b4bed,objTwoColors,#0080FF,0,264,52,4,0.1,Blue     
57190633f233f,objTwoColors,#0080FF,261,0,396,1,0.11,Blue     
5727e49793f7b,objTwoColors,#0080FF,0,191,124,5,0.09,Sky-Blue 
5734918f46823,objTwoColors,#0080FF,202,0,79,4,0.02,Navy-Blue
57363b3954a26,objTwoColors,#0080FF,210,0,78,5,0.03,Blue     
5738cf3d97a58,objTwoColors,#0080FF,228,0,64,4,0.11,Blue     
57451c3b38192,objTwoColors,#0080FF,0,213,67,5,0.05,Blue     
5745350dc1e22,objTwoColors,#0080FF,226,0,115,5,0.11,Blue     
5745500f6e643,objTwoColors,#0080FF,232,0,71,5,0.12,Blue     
5745b5cbe3caa,objTwoColors,#0080FF,211,0,80,4,0.04,Blue     
5745f6f039dc9,objTwoColors,#0080FF,0,0,0,4,0.47,Red      
