Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.34,0.52,0.05,0.31,0.34,0.23,0.36,0.4,0.12,0.33,0.44,0.14,0.34,0.4,0.16
Online Users (Regular),0.32,0.55,0.03,0.3,0.33,0.24,0.36,0.42,0.11,0.33,0.45,0.12,0.35,0.42,0.14
Online Users (Uncalibrated),0.48,0.39,0.24,0.37,0.28,0.27,0.43,0.35,0.18,0.42,0.34,0.24,0.44,0.31,0.25
Users aged Less Than 20 Years,0.36,0.53,0.05,0.29,0.32,0.24,0.39,0.42,0.11,0.35,0.46,0.11,0.38,0.43,0.12
Users aged Between 20 and 29 Years,0.35,0.52,0.05,0.3,0.33,0.24,0.38,0.41,0.11,0.35,0.45,0.12,0.37,0.43,0.13
Users aged Between 30 and 39 Years,0.34,0.56,0.01,0.33,0.36,0.2,0.38,0.42,0.1,0.35,0.47,0.1,0.37,0.45,0.11
Users aged Between 40 and 49 Years,0.38,0.48,0.1,0.32,0.3,0.26,0.38,0.4,0.13,0.35,0.41,0.16,0.37,0.38,0.18
Users aged Between 50 and 59 Years,0.44,0.47,0.14,0.4,0.33,0.22,0.43,0.39,0.14,0.41,0.42,0.16,0.43,0.39,0.17
Users aged Above 60 Years,0.32,0.56,0.02,0.28,0.31,0.26,0.37,0.4,0.13,0.33,0.42,0.15,0.36,0.38,0.17
Female Users,0.37,0.52,0.06,0.32,0.32,0.24,0.38,0.41,0.11,0.36,0.44,0.13,0.38,0.42,0.14
Male Users,0.35,0.52,0.05,0.31,0.33,0.23,0.38,0.41,0.11,0.35,0.45,0.12,0.37,0.43,0.13
Other Gender Users,0.33,0.58,0.01,0.26,0.32,0.26,0.38,0.46,0.07,0.33,0.51,0.06,0.36,0.48,0.08
