id;typeOfQuestion;first_color;second_color;third_color;clicks;page_time;rating;resets;id_question
57113b7f16c4b;objTwoColors;#FFFF00;236;131;547;130;3;0;1
57113b7f16c4b;objTwoColors;#FF00FF;9;219;639;29;4;0;2
57113b7f16c4b;objTwoColors;#80FF00;66;147;201;23;2;0;3
57113b7f16c4b;objTwoColors;#7f00ff;224;300;605;58;2;0;4
57113b7f16c4b;objTwoColors;#FF0080;226;350;234;97;5;1;5
57113b7f16c4b;objTwoColors;#FF8000;4;67;473;18;4;0;6
57113b7f16c4b;objTwoColors;#0000FF;262;260;614;27;1;0;7
57113b7f16c4b;objTwoColors;#FF0000;351;350;212;12;1;0;8
57113b7f16c4b;objTwoColors;#00FF80;66;178;111;12;4;0;9
57113b7f16c4b;objTwoColors;#0080FF;226;149;189;21;2;0;10
57113b7f16c4b;objTwoColors;#FF8000;64;10;196;27;5;0;11
57113b7f16c4b;objTwoColors;#80FF00;60;178;300;35;4;0;12
57113b7f16c4b;objTwoColors;#0080FF;187;233;273;90;4;0;13
57113b7f16c4b;objTwoColors;#8000FF;236;303;398;30;1;0;14
57113b7f16c4b;objTwoColors;#00FF80;60;202;387;20;4;0;15
57113b7f16c4b;objTwoColors;#FF007F;3;208;119;15;3;0;16
57113b7f16c4b;objTwoColors;#00FF00;189;58;363;21;4;0;17
57113b7f16c4b;twoColorsObj;#FF0000;#00FF00;#808000;381;25;4;0;18
57113b7f16c4b;twoColorsObj;#FF0000;#0000FF;#800080;173;11;4;0;19
57113b7f16c4b;twoColorsObj;#00FF00;#0000FF;#7d93a6;871;80;2;0;20
57113b7f16c4b;twoColorsObj;#FF0000;#00FFFF;#B000FF;1037;125;2;0;21
57113b7f16c4b;twoColorsObj;#FF0000;#FFFF00;#FF8000;270;19;5;0;23
57113b7f16c4b;twoColorsObj;#00FFFF;#FF00FF;#c6aeff;147;29;4;0;24
57113b7f16c4b;twoColorsObj;#FF00FF;#FFFF00;#00FF80;295;35;3;0;25
57113b7f16c4b;twoColorsObj;#00FF00;#00FFFF;#00ffb7;453;41;3;0;26
57113b7f16c4b;twoColorsObj;#00FF00;#FF00FF;#91c01d;740;55;3;0;27
57113b7f16c4b;twoColorsObj;#00FF00;#FFFF00;#80FF00;88;17;3;0;28
57113b7f16c4b;twoColorsObj;#0000FF;#00FFFF;#00caff;92;14;5;0;29
57113b7f16c4b;twoColorsObj;#0000FF;#FF00FF;#ca0088;279;35;4;0;30
57113b7f16c4b;twoColorsObj;#0000FF;#FFFF00;#00FF00;610;25;3;0;31
57113b7f16c4b;twoColorsObj;#00FFFF;#FFFF00;#80FF00;82;8;4;0;32
5710cbc5f0ea4;objTwoColors;#FFFF00;57;58;406;12;5;0;1
5710cbc5f0ea4;objTwoColors;#FF00FF;9;182;170;24;5;0;2
5710cbc5f0ea4;objTwoColors;#80FF00;68;206;382;10;5;0;3
5710cbc5f0ea4;objTwoColors;#7f00ff;211;15;256;13;5;0;4
5710cbc5f0ea4;objTwoColors;#FF0080;195;7;303;17;5;0;5
5710cbc5f0ea4;objTwoColors;#FF8000;8;55;108;10;5;0;6
5710cbc5f0ea4;objTwoColors;#0000FF;232;231;235;9;5;0;7
5710cbc5f0ea4;objTwoColors;#FF0000;7;10;82;12;5;0;8
5710cbc5f0ea4;objTwoColors;#00FF80;70;206;261;9;5;0;9
5710cbc5f0ea4;objTwoColors;#0080FF;217;180;469;19;4;0;10
5710cbc5f0ea4;objTwoColors;#FF8000;57;7;796;77;4;0;11
5710cbc5f0ea4;objTwoColors;#80FF00;60;190;239;17;5;0;12
5710cbc5f0ea4;objTwoColors;#0080FF;244;0;476;19;4;0;13
5710cbc5f0ea4;objTwoColors;#8000FF;7;225;216;13;4;0;14
5710cbc5f0ea4;objTwoColors;#00FF80;1;122;461;20;5;0;15
5710cbc5f0ea4;objTwoColors;#FF007F;326;331;984;91;5;1;16
5710cbc5f0ea4;objTwoColors;#00FF00;57;184;115;12;4;0;17
5710cbc5f0ea4;twoColorsObj;#FF0000;#00FF00;#7d93a6;314;25;2;0;18
5710cbc5f0ea4;twoColorsObj;#FF0000;#0000FF;#7f00ff;111;10;4;0;19
5710cbc5f0ea4;twoColorsObj;#00FF00;#0000FF;#008080;1061;84;2;0;20
5710cbc5f0ea4;twoColorsObj;#FF0000;#00FFFF;#8080FF;217;15;5;0;21
5710cbc5f0ea4;twoColorsObj;#FF0000;#FF00FF;#FF0050;569;58;3;0;22
5710cbc5f0ea4;twoColorsObj;#FF0000;#FFFF00;#ffa100;450;9;5;0;23
5710cbc5f0ea4;twoColorsObj;#00FFFF;#FF00FF;#7f00ff;363;26;5;0;24
5710cbc5f0ea4;twoColorsObj;#FF00FF;#FFFF00;#FF8080;1712;82;5;0;25
5710cbc5f0ea4;twoColorsObj;#00FF00;#00FFFF;#8080FF;240;24;2;0;26
5710cbc5f0ea4;twoColorsObj;#00FF00;#FF00FF;#FFFFFF;0;19;5;0;27
5710cbc5f0ea4;twoColorsObj;#00FF00;#FFFF00;#aeff00;240;14;5;0;28
5710cbc5f0ea4;twoColorsObj;#0000FF;#00FFFF;#00caff;87;21;4;0;29
5710cbc5f0ea4;twoColorsObj;#0000FF;#FF00FF;#7f00ff;146;10;5;0;30
5710cbc5f0ea4;twoColorsObj;#0000FF;#FFFF00;#00FF00;342;19;5;0;31
5710cbc5f0ea4;twoColorsObj;#00FFFF;#FFFF00;#46ff9c;147;7;5;0;32
